id,ClassId
661,12
4477,9
1046,5
631,7
6533,1
2899,30
1941,38
5749,4
588,26
1333,1
5826,25
7493,10
4306,4
3429,25
1191,10
4076,15
1601,22
2183,4
4214,32
5366,28
5434,2
6709,4
2421,34
4247,4
5722,10
1115,11
1730,31
6673,17
156,25
2011,38
4416,34
4661,2
6511,5
4411,33
821,17
6246,40
3934,7
5711,38
3233,25
3738,18
4561,22
3780,11
6288,1
3115,13
7155,8
7603,12
1932,13
6387,1
6001,22
4376,27
2393,9
5025,12
660,10
7634,11
1978,34
2398,3
2826,10
2679,30
1466,13
1953,5
3887,7
5681,17
2945,3
2481,13
6552,40
6096,10
1969,2
5544,11
133,1
2313,4
5148,4
3875,7
1050,1
960,5
721,1
2129,2
6395,9
4106,8
1809,7
1882,10
6491,9
7103,9
2490,12
2810,12
3378,20
2922,4
269,4
4468,11
1162,13
6523,7
2106,2
5505,4
3292,4
6605,40
3836,31
1188,13
5752,11
2627,4
3829,2
3616,2
1085,18
214,18
5685,25
5261,11
879,38
4070,34
5183,2
459,4
5777,33
4532,3
3973,4
6037,33
2278,4
2687,34
1388,12
6664,20
966,11
731,4
1808,5
7703,25
5302,10
5622,12
2637,10
5146,18
3617,9
5720,1
5260,25
7490,10
2428,3
7268,26
6915,8
5690,18
6363,18
3527,13
4800,5
1167,3
3993,8
93,3
7816,12
1116,12
6634,11
6411,15
6616,28
6299,31
1866,27
7400,2
4527,34
1528,3
7801,8
218,30
3487,18
6009,4
1686,11
4248,2
5258,25
3236,4
5489,31
6993,14
6925,2
3221,2
7668,3
4051,25
4200,1
5321,38
5835,40
3305,9
5628,25
7121,18
7601,11
4013,11
540,4
4568,10
2281,7
4550,8
4308,30
3768,13
7774,8
6198,0
7717,2
6145,33
3301,12
2139,14
3702,4
1794,9
4460,2
4301,40
4590,5
6147,35
1410,2
6090,12
3237,2
1934,4
4274,4
2560,35
7450,41
3150,20
1019,13
5798,2
6563,3
4595,2
4179,12
7684,38
7329,4
4963,1
246,31
4914,4
1107,13
4038,5
1278,11
6366,4
1681,15
5522,2
7700,11
5959,12
6868,15
1395,11
6115,10
5638,9
6055,9
3373,28
1993,16
2383,13
4570,1
6988,13
5950,5
3783,41
7571,2
7102,13
6711,1
49,34
4062,2
1408,34
7191,4
5324,18
2777,10
5374,2
3084,3
1146,2
257,25
2682,10
4973,4
2172,10
761,10
6817,30
689,17
655,18
4029,11
6140,8
5571,40
1468,2
3522,2
3076,10
4412,13
335,25
6146,38
4519,2
2025,4
2921,12
5526,4
4988,13
4856,38
3120,7
3100,22
1049,4
2537,7
3269,11
3954,2
5192,28
7577,34
1393,11
4699,35
4128,12
3752,11
598,38
7110,12
6289,38
3026,25
2047,11
871,7
150,2
1053,1
271,8
2900,4
6989,25
4658,12
4309,10
4122,17
908,4
5157,38
6448,12
6092,15
3695,25
853,4
7369,23
3230,5
1226,8
5673,25
4167,2
3576,11
4110,8
5182,12
1465,34
2425,7
7676,20
1944,28
6992,23
5129,8
5398,2
6936,34
1745,5
3050,12
1074,25
3553,1
1148,2
129,5
5801,3
2423,33
896,6
7611,11
276,7
7596,40
2063,23
4520,4
2834,1
3610,19
7808,13
1719,2
3252,1
2364,12
1420,15
3079,41
1632,35
1108,1
1297,1
503,20
2722,13
6942,7
3663,8
7307,25
37,8
4774,3
3764,9
6719,20
2968,33
6286,10
2178,3
5886,8
920,13
2157,12
4627,1
4576,17
3168,2
2014,13
5423,5
7772,10
1284,13
2124,11
4134,40
3475,13
1999,1
3501,15
1772,20
1032,17
7541,1
1149,7
1322,18
189,20
1718,1
5724,7
4778,12
4773,4
1181,38
1853,10
6878,34
7447,10
94,11
4993,10
6666,8
970,4
5732,11
726,33
5735,25
44,9
6996,5
1506,10
5384,28
3855,9
3714,4
1773,2
2774,4
5862,2
3719,2
4298,9
250,20
2535,25
4404,11
6869,5
2568,2
7499,25
2275,11
4560,4
6808,10
6949,5
6967,9
3925,27
1305,8
1505,2
3689,2
6609,1
607,41
233,12
1090,4
5300,25
2648,15
2756,21
1469,3
3254,22
4382,38
4077,12
6979,28
7483,34
7157,16
4504,13
4711,12
3524,4
7542,10
6663,2
5757,1
4232,13
6637,1
4408,1
3056,9
3136,38
5878,2
3421,4
3118,13
2773,10
2974,4
3781,10
2467,1
644,40
4429,18
858,25
4385,18
3436,11
7651,31
7024,11
1519,15
1059,3
7715,25
1587,12
3451,9
95,18
860,3
4866,35
543,13
119,33
392,12
1665,6
1372,26
3711,5
7044,33
1320,25
7785,40
5084,3
3141,19
4321,11
1716,25
6133,15
4108,12
4188,7
4757,35
4715,5
4185,1
3329,13
4486,30
6409,40
2656,5
446,10
4897,18
6961,11
5601,12
2835,12
89,10
1936,25
6449,11
3970,11
6352,4
6460,40
7477,3
3461,12
3046,40
6308,38
2811,10
602,4
5949,13
6101,33
3209,15
1947,20
290,17
5373,5
4883,11
733,12
5124,11
6057,30
7343,25
670,4
5193,21
1793,10
3932,11
3401,13
3569,25
6631,27
4551,12
1346,12
4055,3
4569,40
3469,8
7319,17
3612,2
5457,8
7220,9
5967,38
2376,12
4854,1
2187,12
1212,17
5552,5
500,14
7264,4
7724,10
3231,25
1411,13
5890,13
448,3
5431,10
1523,7
4088,29
5965,4
7391,9
5653,2
4037,12
642,34
2915,2
7271,14
7205,7
3971,38
2860,11
210,1
1588,2
185,9
5942,5
1687,13
2422,15
7452,10
5774,12
7569,13
454,7
5067,14
5649,13
1307,3
30,1
4244,9
159,4
6927,1
